clus,pois,latitude,longitude,time,categories
98,Moschea_di_Roma,41.934769,12.495221,992.9090909,romaq.iiparioli;religioniaroma;moscheedellazio;architetturediroma
99,Pantheon_(Roma);Basilica_di_Nettuno,41.89819722,12.47686389,370.0268657,disposizionifonichediorganiacanne;basilicheantichediroma;romar.ixpigna;pantheon(roma)
100,Basilica_di_San_Lorenzo_fuori_le_mura,41.9025,12.52055556,1386.173913,basilichediroma;disposizionifonichediorganiacanne;chiesediroma
101,Basilica_dei_Santi_Giovanni_e_Paolo,41.886514,12.492634,360.5641026,chiesetitolaridiroma;chiesediroma;disposizionifonichediorganiacanne;basilicheminoridiroma
102,Verano_(zona_di_Roma);Cimitero_del_Verano,41.90323,12.526,240,cimiteridiroma;romaq.vitiburtino;zoneurbanistichediroma
103,Area_di_Sant'Omobono,41.89053,12.48141,240,romar.xiiripa;sitiarcheologicidiroma
104,Stazione_di_Roma_Trastevere,41.87271,12.466,380.3846154,romaq.xiigianicolense;stazioniferroviariediroma;romaq.xiportuense
105,Colle_Vaticano,41.90361111,12.45027778,396.3809524,collidiroma;geografiadiroma
107,Palazzetto_dello_Sport_(Roma),41.92959722,12.47070833,2029.066667,impiantisportividiroma;romaq.iiparioli
108,Arco_di_Costantino,41.88972222,12.49083333,278.4328434,architettureantichediroma;romar.xixcelio;archiantichidiroma
109,Chiesa_di_Santa_Maria_Immacolata_a_via_Veneto,41.90463889,12.48866667,241.3768116,chiesediromadelxviisecolo;chiesediroma
110,Tempio_di_Venere_e_Roma,41.890797,12.490095,240,templidelfororomano;romar.xcampitelli
111,Università_Pontificia_Salesiana,41.95916667,12.52166667,1200,famigliasalesiana;universitàdiroma;romaz.ivalmelaina
112,Cinecittà_Est,41.85277,12.59027,240,romaz.xvtorremaura;toponimidiroma
113,Centocelle,41.88569,12.56694,240,zoneurbanistichediroma;romaq.xixprenestino-centocelle
115,Serpentara,41.97139,12.53694,1800,zoneurbanistichediroma;romaz.iicastelgiubileo
116,Lepanto_(metropolitana_di_Roma),41.91173,12.46655,240,romar.xxiiprati;lineaa(metropolitanadiroma)
117,Ottaviano_-_San_Pietro_-_Musei_Vaticani_(metropolitana_di_Roma),41.90949,12.45788,240,romar.xxiiprati;lineac(metropolitanadiroma);lineaa(metropolitanadiroma)
118,Cipro_(metropolitana_di_Roma),41.90724,12.4476,240,romaq.xivtrionfale;lineaa(metropolitanadiroma)
119,Abbazia_delle_Tre_Fontane,41.83444444,12.48333333,634,romaq.xxardeatino;abbaziedellazio
120,Flaminio_-_Piazza_del_Popolo_(metropolitana_di_Roma),41.91201,12.47646,506.5657895,romaq.iflaminio;romaq.iiipinciano;lineaa(metropolitanadiroma)
121,Fontana_della_Barcaccia;Piazza_di_Spagna;Spagna_(metropolitana_di_Roma),41.90583333,12.48229167,465.1532258,scalinate;piazzediroma;romar.ivcampomarzio;fontanediroma;sculturearoma;romar.ivcampomarzio;romar.ivcampomarzio;lineaa(metropolitanadiroma);architetturebarocchediroma;romar.xviludovisi
122,Fontana_del_Tritone;Barberini_-_Fontana_di_Trevi_(metropolitana_di_Roma);Piazza_Barberini;Tempio_di_Flora,41.90363,12.4887,304.7203065,romar.iiicolonna;romar.iitrevi;lineaa(metropolitanadiroma);piazzediroma;fontanediroma;sculturearoma;romar.iiicolonna;romar.iitrevi;romar.iiicolonna;architetturescomparsediroma;romar.iitrevi;romar.iitrevi;romar.xviludovisi;architetturebarocchediroma;templiantichidiroma
123,Repubblica_-_Teatro_dell'Opera_(metropolitana_di_Roma),41.90248,12.49453,600,lineaa(metropolitanadiroma);romar.xviiicastropretorio
124,Manzoni_-_Museo_della_Liberazione_(metropolitana_di_Roma),41.8905,12.5068,240,lineaa(metropolitanadiroma);romar.xvesquilino
125,Termini_(metropolitana_di_Roma),41.90154,12.50059,711.2857143,romar.xviiicastropretorio;lineab(metropolitanadiroma);lineaa(metropolitanadiroma);romar.xvesquilino
126,Vittorio_Emanuele_(metropolitana_di_Roma),41.89473,12.5043,240,romar.xvesquilino;lineaa(metropolitanadiroma)
127,Bologna_(metropolitana_di_Roma),41.91332,12.52063,730.875,lineab(metropolitanadiroma);romaq.vnomentano
128,San_Giovanni_(metropolitana_di_Roma),41.88559,12.5096,347.5632184,romaq.ixappio-latino;romaq.viiituscolano;lineaa(metropolitanadiroma);lineac(metropolitanadiroma)
129,Chiesa_di_Santa_Maria_in_Via,41.90163,12.4815,817.6164384,chiesediroma;edificidicultodedicatiamaria;chiesetitolaridiroma
130,Chiesa_di_Nostra_Signora_del_Sacro_Cuore_(Roma),41.89824167,12.47353611,240,edificidicultodedicatiamaria;chiesediroma;chiesenazionalidiroma;chiesetitolaridiroma
