id;name;latitude;longitude
332;Chiesa_di_San_Gregorio_al_Celio;41.885868;12.490385
333;Chiesa_di_Sant'Andrea_del_Vignola;41.921191;12.47203
334;Tor_Pagnotta;41.80065;12.49604
335;Basilica_di_Sant'Anastasia_al_Palatino;41.8880694444;12.4841888889
336;Basilica_di_Santa_Maria_in_Domnica;41.8847222222;12.4955555556
337;Basilica_di_San_Sebastiano_fuori_le_mura;41.8555555556;12.5155555556
338;Basilica_di_Santa_Maria_in_Via_Lata;41.8980555556;12.4811111111
339;Chiesa_di_Santa_Bibiana;41.8955388889;12.5092388889
340;Chiesa_di_San_Sebastiano_al_Palatino;41.8896777778;12.48865
341;Piazza_della_Repubblica_(Roma);41.9027777778;12.4961111111
342;Chiesa_di_Sant'Eusebio;41.896272;12.503718
343;Porta_Fontinalis;41.8939833333;12.4842861111
344;Basilica_di_San_Bartolomeo_all'Isola;41.8902777778;12.4783333333
345;Museo_nazionale_romano_di_palazzo_Altemps;41.901171;12.472782
346;San_Lorenzo_(zona_di_Roma);41.8971;12.51574
347;Chiesa_di_San_Carlo_alle_Quattro_Fontane;41.9016666667;12.4908333333
348;Pontificia_Accademia_delle_Scienze_Sociali;41.9041666667;12.4527777778
349;Chiesa_dei_Santi_Nereo_e_Achilleo;41.8802222222;12.4947777778
350;Basilica_di_Santa_Sabina;41.8844444444;12.4797222222
351;Chiesa_dei_Santi_Marcellino_e_Pietro_al_Laterano;41.8890472222;12.5031277778
352;Chiesa_di_San_Teodoro_al_Palatino;41.8902777778;12.4847222222
353;Ponte_Milvio;41.9355555556;12.4669444444
354;Basilica_di_Sant'Eustachio;41.898;12.47584
355;Basilica_di_Santa_Francesca_Romana;41.8911666667;12.4888611111
356;Chiesa_di_San_Lorenzo_in_Panisperna;41.8972444444;12.4931527778
357;Chiesa_di_Santo_Spirito_in_Sassia;41.9011944444;12.4611388889
358;Chiesa_di_Santa_Maria_dell'Anima;41.9;12.4716666667
359;Chiesa_di_Santa_Barbara_dei_Librai;41.8948111111;12.4737472222
360;Chiesa_del_Santissimo_Nome_di_Maria_al_Foro_Traiano;41.8961416667;12.4845555556
361;Basilica_di_San_Giovanni_Battista_dei_Fiorentini;41.89969;12.46502
362;Chiesa_di_San_Girolamo_dei_Croati;41.9050388889;12.4756944444
363;Val_Melaina;41.9513;12.52201
364;Castel_Giubileo;41.9741;12.51909
365;Casal_Boccone;41.96022;12.55557
366;Tor_San_Giovanni;41.97059;12.58003
367;Settecamini;41.9;12.6
368;Tor_Cervara;41.9236;12.58801
369;Tor_Sapienza;41.90288;12.59346
370;Tiburtino_III;41.91431;12.55977
371;Basilica_dei_Santi_Bonifacio_e_Alessio;41.8836472222;12.4788472222
372;Chiesa_di_Santa_Maria_in_Aquiro;41.8999638889;12.4780805556
373;Chiesa_del_Sacro_Cuore_Immacolato_di_Maria;41.9273777778;12.4810777778
374;Chiesa_di_Santa_Maria_della_Scala_(Roma);41.8910583333;12.4675861111
375;Porta_Portese;41.883898;12.474022
376;Via_dei_Condotti;41.9051277778;12.4805
377;Colonna_dell'Immacolata_(Roma);41.9049833333;12.4829416667
378;Raggruppamento_Unità_Difesa;41.9154194444;12.4248388889
379;Torre_Spaccata;41.88125;12.59882
380;Torre_Maura;41.85549;12.59033
381;Torrenova_(zona_di_Roma);41.84872;12.6099
382;Casal_Morena;41.81309;12.60071
383;Aeroporto_di_Ciampino_(zona_di_Roma);41.81309;12.60071
384;Arcispedale_di_Santo_Spirito_in_Saxia;41.9015388889;12.4626666667
385;Villa_Ada_(Roma);41.93203;12.50149
386;Porta_Salaria;41.9107388889;12.4981416667
387;Proiezione_di_Gauss-Boaga;41.9244030556;12.4521272222
388;Centro_Sportivo_Giulio_Onesti;41.9372;12.49131
389;Stadio_Tre_Fontane;41.8411944444;12.4701111111
390;Mausoleo_di_Lucilio_Peto;41.91;12.496
391;Anfiteatro_Correa;41.9060083333;12.4764083333
392;Tor_Marancia;41.8529;12.5002
393;Casal_Monastero;41.94544;12.6001
394;Casilino;41.88373;12.55162
395;Casal_Bertone;41.89825;12.53349
396;Alessandrina;41.88144;12.57762
397;Catacombe_di_San_Callisto;41.8588777778;12.5110583333
398;Portuense_(suburbio_di_Roma);41.83791;12.4312
399;Gianicolense_(suburbio_di_Roma);41.86112;12.42038
400;Aurelio_(suburbio_di_Roma);41.89326;12.39751
401;Trionfale_(suburbio_di_Roma);41.94646;12.38004
402;Della_Vittoria_(suburbio_di_Roma);41.95;12.43283
403;Villaggio_Olimpico_(zona_di_Roma);41.93352;12.47528
404;Ottavia_(zona_di_Roma);41.96057;12.40347
405;Cappella_Paolina_in_Vaticano;41.9030555556;12.4547222222
406;Trullo_(zona_di_Roma);41.84317;12.43671
407;Fonte_Ostiense;41.8097;12.47197
408;Ippodromo_delle_Capannelle;41.82362;12.56923
409;Tor_di_Valle;41.82147;12.42776
410;Villa_Celimontana;41.884254;12.494784
411;Gregna;41.82342;12.58342
412;Selva_Candida;41.9426;12.37536
413;Montespaccato;41.90317;12.3888
414;La_Rustica;41.9131;12.60998
415;Torraccia_di_San_Basilio;41.94921;12.58479
416;MAXXI_-_Museo_nazionale_delle_arti_del_XXI_secolo;41.92807;12.46648
417;Parco_de'_Medici;41.81533;12.41013
418;Centro_Direzionale_Centocelle;41.87026;12.55857
419;Osteria_del_Curato;41.83631;12.5833
